,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
15,Little_Cryptoman,20.0,0.00911276304305212,0.5532826273066169,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.5349999999999995,1.3800000000000052,40.94239539034971
16,macrocarpa,20.0,2.742941675958688,0.07174460989375775,10.10000000000003,2.0,1.0,0.0,1.0,1.25000000000001,0.03000000000000491,1.0,1.3800000000000052,40.5746862858525
17,strangelove-ventures,5.0,12.065571651892299,1.2505103549081302,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.07999999999999925,1.3800000000000052,39.816082006800464
18,wave,20.0,0.0227819076076303,0.05916870782604376,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,39.72195061543372
19,天照☀,20.0,0.07943124569696179,0.057852430387104525,10.10000000000003,2.0,0.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,2.8800000000000012,39.697283676084105
20,syncnode,15.0,1.7469166753530914,0.06801209200665953,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.550000000000003,0.3899999999999995,1.3800000000000052,38.384928767359796
21,Komikuri,20.0,0.0009112770333262555,0.16836492409040896,10.10000000000003,0.0,0.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,37.229276201123774
22,StakeLab,10.0,0.004741562981727857,5.551602449494698,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,37.19634401247647
23,in3s.com,15.0,2.8353744244656434,0.060649525319274575,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,2.7900000000000014,0.034999999999999254,1.3800000000000052,36.551023949784955
24,CryptoCrew Validators ✅,15.0,0.0912131230016688,0.5705088187947707,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.3099999999999994,2.97,36.37172194179649
25,WhisperNode,15.0,9.112763043052119e-05,0.06066690838305613,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,36.29575803601353
26,Citadel.one,10.0,2.427640074669085,1.9296025122823257,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.46999999999999953,1.3800000000000052,34.672242586951455
27,Forbole,10.0,2.05078682827149,1.008267483296525,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.034999999999999254,1.3800000000000052,34.51405431156805
28,SG-1,5.0,4.474366654138591,4.276216517327812,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,33.985583171466445
